            moyr  dy cmsd        
             288  23     0.31
             288  24     0.48
             288  25     1.13
             288  26     0.65
             288  27     0.57
             288  28     1.39
             288  29     0.88
             388   1     2.66
             388   2     0.57
             388   3     0.93
             388   4     0.48
             388   5     0.65
             388   6    -0.06
             388   7     1.73
             388   8     1.44
             388   9     0.06
             388  10    -0.37
             388  11    -0.20
             388  12     0.25
             388  13    -0.31
             388  14     0.17
             388  15     1.02
             388  16     0.20
             388  17    -0.11
             388  18     0.42
             388  19     0.48
             388  20    -0.11
             388  21     0.45
             388  22    -0.40
             388  23     0.68
             388  24    -0.74
             388  25    -0.08
             388  26    -0.31
             388  27    -0.51
             388  28    -0.23
             388  29    -0.14
             388  30    -0.11
             388  31     0.76
             488   1     0.74
             488   2    -0.48
             488   3     0.28
             488   4     1.76
             488   5     0.59
             488   6     0.62
             488   7     0.65
             488   8     0.25
             488   9     0.25
             488  10     0.93
             488  11     1.27
             488  12     0.91
             488  13     0.51
             488  14     1.42
             488  15     0.91
             488  16     1.16
             488  17     0.54
             488  18     0.99
             488  19     3.34
             488  20     2.72
             488  21     0.93
             488  22     2.38
             488  23     2.32
             488  24     1.33
             488  25     1.61
             488  26     1.67
             488  27     1.84
             488  28     1.39
             488  29     1.70
             488  30     0.25
             588   1     1.10
             588   2     0.85
             588   3     1.44
             588   4     1.47
             588   5     1.19
             588   6     2.21
             588   7     1.61
             588   8     1.22
             588   9     0.91
             588  10     0.91
             588  11     1.90
             588  12     1.27
             588  13     1.76
             588  14     1.61
             588  15     1.08
             588  16     1.33
             588  17     1.44
             588  18     1.44
             588  19     1.56
             588  20     1.05
             588  21     0.93
             588  22     0.45
             588  23     0.82
             588  24     0.99
             588  25     0.76
             588  26     0.91
             588  27     1.08
             588  28     0.99
             588  29     0.79
             588  30     0.93
             588  31     0.08
             688   1     0.14
             688   2     1.16
             688   3     1.33
             688   4     0.00
             688   5     0.25
             688   6     0.96
             688   7     0.57
             688   8     0.71
             688   9     1.05
             688  10     0.88
             688  11     0.40
             688  12     0.93
             688  13     0.48
             688  14     0.59
             688  15     0.48
             688  16     0.59
             688  17     0.48
             688  18     0.96
             688  19     0.59
             688  20     0.25
             688  21     0.40
             688  22     0.42
             688  23     0.91
             688  24     1.33
             688  25     0.06
             688  26     0.65
             688  27     0.06
             688  28     0.59
             688  29     1.05
             688  30     0.51
             788   1     0.85
             788   2     0.76
             788   3     0.45
             788   4     0.34
             788   5     1.67
             788   6     1.02
             788   7     0.51
             788   8     0.65
             788   9     1.05
             788  10     0.57
             788  11     0.96
             788  12     0.76
             788  13    -0.14
             788  14     0.03
             788  15     0.62
             788  16     0.62
             788  17     0.54
             788  18     0.74
             788  19     0.85
             788  20    -0.20
             788  21     0.74
             788  22     0.14
             788  23    -0.42
             788  24    -0.14
             788  25     0.23
             788  26     0.37
             788  27     0.34
             788  28     0.48
             788  29    -0.37
             788  30    -0.34
             788  31     1.13
             888   1    -0.91
             888   2    -0.11
             888   3     0.62
             888   4     0.11
             888   5     0.62
             888   6     0.11
             888   7     0.65
             888   8     0.79
             888   9     0.51
             888  10     0.11
             888  11    -0.06
             888  12     0.06
             888  13     0.20
             888  14     0.40
             888  15     0.62
             888  16     0.59
             888  17     0.28
             888  18     0.45
             888  19     0.23
             888  20     0.37
             888  21     0.31
             888  22     0.74
             888  23     1.02
             888  24     0.93
             888  25    -0.91
             888  26     0.40
             888  27     0.20
             888  28     0.28
             888  29     0.65
             888  30     0.71
             888  31     0.03
             988   1     0.40
             988   2     0.25
             988   3     0.57
             988   4     0.74
             988   5     0.62
             988   6     0.14
             988   7     0.37
             988   8     0.40
             988   9     0.25
             988  10     0.14
             988  11     0.65
             988  12     0.28
             988  13     0.96
             988  14    -0.34
             988  15     0.08
             988  16     0.74
             988  17     0.23
             988  18     0.00
             988  19     0.28
             988  20    -0.59
             988  21     0.03
             988  22     0.06
             988  23    -0.23
             988  24    -0.17
             988  25    -0.11
             988  26    -0.14
             988  27    -0.34
             988  28     0.23
             988  29     0.20
             988  30     0.57
            1088   1    -0.37
            1088   2    -0.37
            1088   3    -0.62
            1088   4    -1.59
            1088   5    -0.20
            1088   6     0.17
            1088   7    -0.23
            1088   8     0.00
            1088   9     0.11
            1088  10    -0.03
            1088  11    -0.06
            1088  12     0.17
            1088  13     0.25
            1088  14     0.45
            1088  15     0.20
            1088  16     0.88
            1088  17     0.37
            1088  18     0.17
            1088  19     0.34
            1088  20     0.25
            1088  21    -0.11
            1088  22     0.14
            1088  23     0.14
            1088  24    -0.08
            1088  25     0.11
            1088  26    -0.08
            1088  27    -0.03
            1088  28    -0.59
            1088  29    -0.11
            1088  30    -0.11
            1088  31    -0.34
            1188   1    -0.45
            1188   2     0.42
            1188   3     0.96
            1188   4    -0.03
            1188   5     0.17
            1188   6     0.03
            1188   7    -0.37
            1188   8    -0.17
            1188   9     0.11
            1188  10     0.62
            1188  11     0.37
            1188  12     0.99
            1188  13     1.13
            1188  14     0.74
            1188  15     0.85
            1188  16     1.95
            1188  17     0.54
            1188  18     0.45
            1188  19     0.37
            1188  20     0.82
            1188  21     3.06
            1188  22    26.53
            1188  23    26.59
            1188  24     5.72
            1188  25     6.51
            1188  26     3.14
            1188  27     1.70
            1188  28     1.61
            1188  29     1.27
            1188  30     1.10
            1288   1     0.68
            1288   2     0.96
            1288   3     0.62
            1288   4     0.85
            1288   5     1.05
            1288   6     1.08
            1288   7     1.30
            1288   8     0.40
            1288   9     0.93
            1288  10     0.68
            1288  11     1.16
            1288  12     0.42
            1288  13     0.62
            1288  14     3.17
            1288  15    -1.78
            1288  16     0.48
            1288  17     0.71
            1288  18     0.45
            1288  19     2.04
            1288  20     4.45
            1288  21     5.04
            1288  22    30.67
            1288  23     6.82
            1288  24    15.80
            1288  25     7.70
            1288  26     4.93
            1288  27     6.94
            1288  28     7.70
            1288  29     5.18
            1288  30     9.46
            1288  31    12.49
             189   1     5.44
             189   2     4.93
             189   3     4.39
             189   4     4.16
             189   5    12.57
             189   6     5.49
             189   7     3.40
             189   8     4.50
             189   9     8.24
             189  10    17.64
             189  11    11.33
             189  12     7.22
             189  13     5.78
             189  14     2.89
             189  15     1.70
             189  16     1.61
             189  17     0.20
             189  18     1.90
             189  19     3.20
             189  20     3.40
             189  21     2.94
             189  22     3.96
             189  23     5.72
             189  24     4.11
             189  25     3.79
             189  26     3.37
             189  27     2.92
             189  28     2.86
             189  29     2.89
             189  30     2.61
             189  31     2.92
             289   1     2.94
             289   2     2.86
             289   3     2.32
             289   4     2.52
             289   5     2.04
             289   6     1.98
             289   7     2.15
             289   8     2.24
             289   9     2.52
             289  10     1.78
             289  11     1.33
             289  12     1.33
             289  13     2.01
             289  14     0.79
             289  15     0.74
             289  16     0.54
             289  17     0.96
             289  18     1.42
             289  19     0.99
             289  20     0.62
             289  21     0.68
             289  22     1.33
             289  23     0.93
             289  24     0.99
             289  25     0.76
             289  26     0.54
             289  27     0.91
             289  28     0.85
             389   1     3.85
             389   2    23.14
             389   3     6.00
             389   4     9.15
             389   5    33.67
             389   6    26.48
             389   7    15.49
             389   8    23.33
             389   9    32.65
             389  10    27.50
             389  11    37.18
             389  12    18.80
             389  13    17.75
             389  14     9.15
             389  15     6.34
             389  16    25.34
             389  17    12.97
             389  18    82.26
             389  19    25.57
             389  20    17.44
             389  21    12.35
             389  22     8.21
             389  23    16.14
             389  24    23.87
             389  25    28.54
             389  26    12.52
             389  27    10.93
             389  28    14.61
             389  29     7.67
             389  30     4.81
             389  31     5.15
             489   1     5.72
             489   2     6.94
             489   3     6.20
             489   4     4.59
             489   5     3.91
             489   6     3.54
             489   7     3.45
             489   8     3.03
             489   9     3.00
             489  10     2.61
             489  11     2.38
             489  12     2.07
             489  13     2.18
             489  14     1.90
             489  15     2.41
             489  16     2.46
             489  17     2.01
             489  18     2.10
             489  19     1.78
             489  20     1.95
             489  21     2.92
             489  22     2.27
             489  23     3.65
             489  24     3.20
             489  25     2.63
             489  26     2.75
             489  27     1.59
             489  28     1.53
             489  29     2.10
             489  30     1.61
             589   1     1.70
             589   2     1.67
             589   3     1.59
             589   4     1.76
             589   5     1.78
             589   6     1.64
             589   7     1.84
             589   8     1.59
             589   9     1.05
             589  10     0.85
             589  11     1.39
             589  12     1.13
             589  13     1.08
             589  14     0.91
             589  15     1.59
             589  16     0.79
             589  17     0.88
             589  18     0.91
             589  19     0.51
             589  20     0.74
             589  21     1.19
             589  22     0.82
             589  23     1.59
             589  24     0.88
             589  25     0.65
             589  26     0.65
             589  27     0.51
             589  28     0.93
             589  29     0.59
             589  30     1.16
             589  31     1.47
             689   1     1.42
             689   2     1.93
             689   3     1.13
             689   4     2.80
             689   5     1.61
             689   6     1.64
             689   7     1.53
             689   8     1.30
             689   9     1.02
             689  10     2.29
             689  11     1.67
             689  12     1.25
             689  13     1.98
             689  14     1.76
             689  15     2.12
             689  16     1.73
             689  17     1.44
             689  18     1.81
             689  19     2.15
             689  20     2.38
             689  21     2.32
             689  22     1.87
             689  23     2.55
             689  24     1.36
             689  25     1.36
             689  26     1.98
             689  27     1.19
             689  28     0.88
             689  29     2.41
             689  30     2.27
             789   1     1.02
             789   2     2.01
             789   3     1.95
             789   4     2.27
             789   5     2.38
             789   6     2.15
             789   7     1.95
             789   8     1.05
             789   9     1.56
             789  10     1.78
             789  11     1.70
             789  12     1.47
             789  13     1.39
             789  14     0.93
             789  15     0.96
             789  16     1.81
             789  17     1.42
             789  18     1.84
             789  19     1.39
             789  20     1.16
             789  21     1.59
             789  22     1.67
             789  23     0.82
             789  24     1.78
             789  25     0.68
             789  26     1.81
             789  27     0.99
             789  28     1.30
             789  29     0.74
             789  30     1.08
             789  31     1.42
             889   1     0.93
             889   2     0.85
             889   3     1.70
             889   4     1.27
             889   5     1.30
             889   6     1.50
             889   7     1.67
             889   8     1.61
             889   9     1.87
             889  10     1.78
             889  11     1.25
             889  12     1.22
             889  13     1.67
             889  14     1.84
             889  15     1.59
             889  16     0.93
             889  17     0.20
             889  18     0.28
             889  19     0.51
             889  20     0.85
             889  21     0.82
             889  22    -0.14
             889  23     0.34
             889  24     0.31
             889  25    -0.17
             889  26     0.11
             889  27     0.31
             889  28    -0.11
             889  29    -0.48
             889  30    -0.06
             889  31     0.65
             989   1    -0.48
             989   2    -0.03
             989   3     0.11
             989   4    -0.06
             989   5    -0.06
             989   6    -0.57
             989   7     0.00
             989   8    -0.31
             989   9    -0.45
             989  10    -0.71
             989  11     0.37
             989  12     1.47
             989  13     0.99
             989  14     1.33
             989  15     0.74
             989  16     2.01
             989  17     0.99
             989  18    -0.48
             989  19     0.23
             989  20    -0.31
             989  21     0.40
             989  22    -0.03
             989  23     0.03
             989  24     0.08
             989  25    -0.17
             989  26    -0.06
             989  27     0.00
             989  28     0.28
             989  29    -0.08
             989  30     0.14
            1089   1    -0.17
            1089   2     0.23
            1089   3    -0.79
            1089   4    -0.51
            1089   5    -0.37
            1089   6    -0.54
            1089   7    -0.08
            1089   8    -0.54
            1089   9    -0.37
            1089  10     0.37
            1089  11     0.20
            1089  12     0.23
            1089  13     0.06
            1089  14     0.03
            1089  15     0.20
            1089  16    -0.06
            1089  17     1.02
            1089  18     0.31
            1089  19    -0.17
            1089  20    -0.20
            1089  21     1.84
            1089  22     1.44
            1089  23     2.97
            1089  24     3.82
            1089  25     0.34
            1089  26     0.79
            1089  27     0.68
            1089  28     0.79
            1089  29     0.74
            1089  30     3.45
            1089  31     0.17
            1189   1     0.48
            1189   2    -0.20
            1189   3     0.25
            1189   4     0.57
            1189   5     0.65
            1189   6     0.51
            1189   7     0.71
            1189   8     0.34
            1189   9     0.03
            1189  10     0.20
            1189  11     0.68
            1189  12     0.48
            1189  13     0.57
            1189  14     1.05
            1189  15     0.34
            1189  16     0.57
            1189  17     0.31
            1189  18     0.40
            1189  19     0.34
            1189  20     0.31
            1189  21     0.25
            1189  22     0.40
            1189  23     1.05
            1189  24     0.57
            1189  25     2.75
            1189  26     0.96
            1189  27     0.85
            1189  28     0.79
            1189  29     0.45
            1189  30     0.93
            1289   1     0.20
            1289   2     0.68
            1289   3     0.48
            1289   4     0.08
            1289   5     0.74
            1289   6     0.68
            1289   7     0.48
            1289   8     1.27
            1289   9     0.74
            1289  10     0.59
            1289  11     0.54
            1289  12     0.48
            1289  13     0.88
            1289  14     0.20
            1289  15     0.62
            1289  16     0.25
            1289  17     0.17
            1289  18    -0.11
            1289  19    -0.31
            1289  20     0.40
            1289  21     0.03
            1289  22     0.34
            1289  23     0.08
            1289  24     0.31
            1289  25     0.25
            1289  26     0.31
            1289  27     0.25
            1289  28     0.00
            1289  29     0.45
            1289  30     0.31
            1289  31     0.23
             190   1     1.10
             190   2     0.31
             190   3     0.62
             190   4    -0.20
             190   5     0.20
             190   6     0.85
             190   7    41.68
             190   8    18.24
             190   9     9.29
             190  10     1.70
             190  11     1.64
             190  12     6.71
             190  13    27.95
             190  14     8.75
             190  15     3.60
             190  16     3.40
             190  17     2.07
             190  18     0.88
             190  19     0.48
             190  20     1.44
             190  21     0.59
             190  22     0.85
             190  23     1.42
             190  24     0.82
             190  25     1.02
             190  26     0.34
             190  27     0.79
             190  28     0.45
             190  29     1.56
             190  30     6.20
             190  31     4.70
             290   1     8.10
             290   2     5.13
             290   3    12.63
             290   4     8.41
             290   5     5.32
             290   6     6.63
             290   7     3.31
             290   8     3.11
             290   9     3.00
             290  10     2.32
             290  11     2.10
             290  12     2.61
             290  13     1.19
             290  14     1.84
             290  15     2.75
             290  16    30.70
             290  17    17.39
             290  18    10.99
             290  19     7.42
             290  20     5.15
             290  21     4.16
             290  22     4.36
             290  23     3.43
             290  24     2.94
             290  25     2.80
             290  26     2.92
             290  27     2.24
             290  28     1.87
             390   1     1.73
             390   2     5.83
             390   3     4.16
             390   4    13.51
             390   5     7.14
             390   6     4.67
             390   7     3.82
             390   8     3.34
             390   9     2.97
             390  10     4.19
             390  11     3.43
             390  12     2.66
             390  13     2.32
             390  14     3.31
             390  15     3.09
             390  16     2.49
             390  17     2.24
             390  18     2.41
             390  19     1.93
             390  20     2.15
             390  21     1.87
             390  22     1.73
             390  23     1.70
             390  24     1.39
             390  25     1.73
             390  26     1.27
             390  27     3.11
             390  28     0.96
             390  29     1.22
             390  30     0.79
             390  31     0.74
             490   1     0.45
             490   2     0.34
             490   3     0.99
             490   4     1.61
             490   5     0.65
             490   6    -0.28
             490   7    -0.62
             490   8    -0.71
             490   9     0.11
             490  10     0.28
             490  11     0.34
             490  12     0.34
             490  13     0.08
             490  14     0.08
             490  15    -0.03
             490  16     0.51
             490  17     0.28
             490  18     0.37
             490  19    -0.25
             490  20     0.23
             490  21     0.25
             490  22     0.40
             490  23     0.65
             490  24     0.20
             490  25     0.34
             490  26     0.57
             490  27     0.31
             490  28    -0.82
             490  29     0.14
             490  30    -0.42
             590   1     0.65
             590   2    -1.33
             590   3    -0.31
             590   4     0.45
             590   5    -0.59
             590   6    -0.37
             590   7    -0.40
             590   8    -0.91
             590   9    -0.82
             590  10    -1.13
             590  11    -0.91
             590  12    -0.99
             590  13    -0.85
             590  14    -1.56
             590  15    -0.28
             590  16    -0.31
             590  17    -0.45
             590  18    -0.74
             590  19     0.37
             590  20     1.33
             590  21    -0.96
             590  22     0.48
             590  23     1.76
             590  24     1.81
             590  25     1.27
             590  26     1.67
             590  27    17.05
             590  28     4.79
             590  29     3.28
             590  30     4.33
             590  31     7.14
             690   1     3.28
             690   2     1.22
             690   3     1.27
             690   4     0.79
             690   5     0.74
             690   6     0.68
             690   7     0.20
             690   8     0.40
             690   9    -0.06
             690  10    -0.37
             690  11    -0.51
             690  12    -0.40
             690  13    -0.76
             690  14    -0.20
             690  15     0.76
             690  16     0.20
             690  17    -0.25
             690  18    -0.79
             690  19    -1.27
             690  20    -0.76
             690  21     0.34
             690  22    -1.05
             690  23    -1.36
             690  24    -1.42
             690  25    -0.79
             690  26    -0.96
             690  27    -0.68
             690  28    -1.27
             690  29    -0.54
             690  30    -0.91
             790   1    -0.96
             790   2    -0.79
             790   3    -0.85
             790   4    -0.96
             790   5    -0.79
             790   6    -1.44
             790   7    -2.01
             790   8    -1.13
             790   9    -0.82
             790  10    -0.68
             790  11    -0.45
             790  12    -0.68
             790  13    -0.42
             790  14    -0.99
             790  15    -1.05
             790  16     0.79
             790  17     0.47
             790  18     0.25
             790  19     0.42
             790  20     0.25
             790  21     0.49
             790  22    -0.05
             790  23    -0.71
             790  24    -2.38
             790  25    -1.87
             790  26    -1.36
             790  27    -1.87
             790  28    -1.36
             790  29    -1.67
             790  30    -1.08
             790  31    -1.22
             890   1    -0.85
             890   2    -0.79
             890   3    -0.85
             890   4    -0.96
             890   5    -0.34
             890   6    -0.08
             890   7     1.78
             890   8    -0.68
             890   9    -2.72
             890  10    -0.88
             890  11    -0.85
             890  12    -0.85
             890  13    -0.40
             890  14    -1.42
             890  15    -1.30
             890  16    -1.50
             890  17    -1.08
             890  18    -0.57
             890  19    -0.34
             890  20    -0.88
             890  21    -1.30
             890  22    -1.16
             890  23    -1.30
             890  24    -1.44
             890  25    -1.56
             890  26    -1.42
             890  27    -0.08
             890  28     1.81
             890  29     0.06
             890  30    -1.42
             890  31    -0.85
             990   1    -0.51
             990   2    -0.45
             990   3    -0.88
             990   4    -1.25
             990   5    -1.08
             990   6    -0.31
             990   7    -1.39
             990   8    -0.45
             990   9     0.17
             990  10     0.03
             990  11    -0.40
             990  12    -0.06
             990  13    -0.06
             990  14    -0.14
             990  15     0.34
             990  16     0.20
             990  17     0.31
             990  18     0.62
             990  19     0.74
             990  20    -0.59
             990  21     0.25
             990  22    -0.57
             990  23     0.62
             990  24     0.59
             990  25     2.41
             990  26     1.08
             990  27     1.10
             990  28     1.16
             990  29     0.82
             990  30     0.51
            1090   1     0.59
            1090   2     0.42
            1090   3    -0.06
            1090   4     0.28
            1090   5    -0.11
            1090   6     0.28
            1090   7     0.00
            1090   8     0.11
            1090   9     1.02
            1090  10    -0.06
            1090  11    -0.31
            1090  12    -0.17
            1090  13     0.03
            1090  14     0.23
            1090  15     0.25
            1090  16    -0.06
            1090  17     0.06
            1090  18     0.28
            1090  19    -0.17
            1090  20     0.00
            1090  21    -0.08
            1090  22     0.17
            1090  23     0.14
            1090  24     0.11
            1090  25     0.17
            1090  26     0.14
            1090  27     0.17
            1090  28    -0.65
            1090  29    -0.03
            1090  30     0.85
            1090  31     0.17
            1190   1    -0.08
            1190   2    -0.23
            1190   3    -0.03
            1190   4     0.08
            1190   5    -0.17
            1190   6    -0.28
            1190   7    -0.42
            1190   8     0.08
            1190   9    -0.03
            1190  10    -0.42
            1190  11    -0.08
            1190  12     0.06
            1190  13    -0.25
            1190  14     0.08
            1190  15    -0.08
            1190  16    -0.08
            1190  17    -0.14
            1190  18     0.40
            1190  19    -0.25
            1190  20     1.73
            1190  21     0.96
            1190  22    -0.34
            1190  23     0.03
            1190  24    -0.03
            1190  25     0.88
            1190  26    -0.14
            1190  27     0.00
            1190  28     0.00
            1190  29     0.00
            1190  30     0.14
            1290   1    -0.25
            1290   2    -0.42
            1290   3    -0.08
            1290   4    -0.34
            1290   5    -0.23
            1290   6     0.23
            1290   7     0.23
            1290   8    -0.31
            1290   9     0.51
            1290  10     1.93
            1290  11     0.08
            1290  12     0.14
            1290  13     0.03
            1290  14     0.71
            1290  15     0.68
            1290  16    -0.17
            1290  17     0.08
            1290  18     0.28
            1290  19     0.82
            1290  20     0.42
            1290  21    -0.11
            1290  22     0.14
            1290  23    -0.11
            1290  24    -0.08
            1290  25     0.20
            1290  26     0.28
            1290  27     0.37
            1290  28     0.25
            1290  29     0.20
            1290  30    -0.08
            1290  31     0.23
             191   1     0.06
             191   2    -0.08
             191   3     0.68
             191   4     0.82
             191   5     0.99
             191   6     0.85
             191   7     0.62
             191   8     0.74
             191   9     0.48
             191  10     0.48
             191  11     0.88
             191  12     0.57
             191  13     0.82
             191  14     0.59
             191  15     0.34
             191  16     0.71
             191  17     1.05
             191  18     0.08
             191  19    -0.25
             191  20     0.14
             191  21     0.31
             191  22     0.06
             191  23     0.74
             191  24     0.14
             191  25     0.14
             191  26     0.34
             191  27     0.37
             191  28     0.68
             191  29    -0.42
             191  30     0.45
             191  31     0.88
             291   1     0.40
             291   2     2.72
             291   3     1.27
             291   4     2.52
             291   5     1.73
             291   6     0.68
             291   7     0.85
             291   8     0.06
             291   9     0.57
             291  10     0.54
             291  11     0.28
             291  12     0.48
             291  13     0.17
             291  14     0.37
             291  15     0.31
             291  16     0.03
             291  17     0.28
             291  18     0.45
             291  19     0.62
             291  20     0.28
             291  21     0.28
             291  22     0.14
             291  23     0.54
             291  24     0.31
             291  25     0.48
             291  26    -0.06
             291  27     0.85
             291  28     0.88
             391   1     4.08
             391   2    11.21
             391   3    30.55
             391   4    34.43
             391   5     6.26
             391   6     3.00
             391   7     1.70
             391   8     0.93
             391   9     1.42
             391  10     4.39
             391  11     1.27
             391  12    26.99
             391  13    17.27
             391  14     4.98
             391  15     3.79
             391  16     4.53
             391  17    10.68
             391  18     6.82
             391  19     5.47
             391  20     7.36
             391  21     4.33
             391  22     2.52
             391  23    43.69
             391  24    30.58
             391  25    35.00
             391  26    35.28
             391  27    12.77
             391  28    11.53
             391  29     4.39
             391  30     3.37
             391  31     2.61
             491   1     1.53
             491   2     1.59
             491   3     1.39
             491   4     1.02
             491   5     1.27
             491   6     1.33
             491   7     0.08
             491   8     0.45
             491   9     0.71
             491  10     0.17
             491  11     0.20
             491  12     0.06
             491  13     0.57
             491  14     0.88
             491  15     0.57
             491  16     0.65
             491  17     0.68
             491  18     0.71
             491  19     0.85
             491  20     1.39
             491  21     0.96
             491  22     0.79
             491  23     0.51
             491  24     1.08
             491  25     1.39
             491  26     0.82
             491  27     1.16
             491  28     0.99
             491  29     0.85
             491  30     1.02
             591   1     0.54
             591   2     0.99
             591   3     1.16
             591   4     0.76
             591   5     0.68
             591   6     0.74
             591   7    -0.17
             591   8    -0.06
             591   9    -0.28
             591  10     0.03
             591  11    -0.23
             591  12     0.00
             591  13     0.45
             591  14    -0.08
             591  15     0.03
             591  16    -0.76
             591  17     0.08
             591  18    -0.42
             591  19     0.71
             591  20     0.20
             591  21     0.48
             591  22     0.40
             591  23    -0.48
             591  24    -0.68
             591  25    -0.68
             591  26    -0.31
             591  27     0.31
             591  28    -0.14
             591  29    -0.20
             591  30    -0.20
             591  31     0.28
             691   1     0.79
             691   2     0.99
             691   3     0.79
             691   4    -0.03
             691   5     0.31
             691   6     0.00
             691   7    -0.54
             691   8    -0.74
             691   9    -0.74
             691  10    -0.71
             691  11    -0.91
             691  12    -0.79
             691  13    -1.44
             691  14    -1.02
             691  15    -0.93
             691  16    -0.28
             691  17     0.20
             691  18    -0.48
             691  19    -0.59
             691  20    -0.93
             691  21    -0.88
             691  22    -0.68
             691  23    -1.16
             691  24    -0.48
             691  25    -0.91
             691  26    -0.96
             691  27    -0.85
             691  28     0.28
             691  29    -0.14
             691  30    -0.08
             791   1     0.28
             791   2    -0.45
             791   3    -0.40
             791   4    -0.79
             791   5    -1.22
             791   6    -1.19
             791   7    -1.30
             791   8    -1.39
             791   9    -0.91
             791  10    -1.02
             791  11    -0.93
             791  12    -0.74
             791  13    -0.76
             791  14     0.25
             791  15     0.20
             791  16    -0.59
             791  17     0.57
             791  18    -0.74
             791  19    -0.71
             791  20    -0.74
             791  21    -0.71
             791  22    -1.36
             791  23    -0.96
             791  24    -0.93
             791  25    -0.40
             791  26    -0.06
             791  27     0.06
             791  28    -0.23
             791  29     0.06
             791  30     0.08
             791  31    -0.34
             891   1    -1.27
             891   2    -1.39
             891   3    -1.84
             891   4    -0.93
             891   5    -1.53
             891   6    -0.59
             891   7    -0.71
             891   8    -0.42
             891   9    -0.06
             891  10     0.20
             891  11    -0.23
             891  12    -0.48
             891  13    -1.13
             891  14     0.14
             891  15    -0.48
             891  16    -1.36
             891  17    -1.02
             891  18    -1.61
             891  19    -0.62
             891  20    -1.39
             891  21    -0.93
             891  22    -1.05
             891  23    -1.16
             891  24     0.14
             891  25    -0.62
             891  26     0.57
             891  27     0.51
             891  28     0.31
             891  29    -0.99
             891  30    -0.68
             891  31    -1.22
             991   1    -1.02
             991   2    -0.68
             991   3    -0.62
             991   4    -0.82
             991   5    -0.74
             991   6    -1.30
             991   7    -0.62
             991   8    -0.68
             991   9    -0.74
             991  10    -0.91
             991  11    -0.40
             991  12    -0.34
             991  13    -0.82
             991  14    -1.10
             991  15    -0.65
             991  16    -0.82
             991  17    -0.93
             991  18    -0.57
             991  19    -0.96
             991  20    -0.71
             991  21    -0.76
             991  22    -0.31
             991  23     0.17
             991  24    -0.11
             991  25    -0.03
             991  26     0.17
             991  27     0.00
             991  28    -0.25
             991  29    -0.06
             991  30     0.08
            1091   1    -0.74
            1091   2     0.23
            1091   3    -0.45
            1091   4     0.31
            1091   5    -0.17
            1091   6    -0.40
            1091   7     0.14
            1091   8    -0.62
            1091   9     0.06
            1091  10    -0.11
            1091  11    -0.88
            1091  12    -0.34
            1091  13     0.34
            1091  14    -0.08
            1091  15     0.71
            1091  16     0.65
            1091  17     0.00
            1091  18     0.96
            1091  19     0.31
            1091  20     0.31
            1091  21     0.74
            1091  22     0.59
            1091  23    -1.84
            1091  24     0.14
            1091  25     3.54
            1091  26     1.67
            1091  27     0.51
            1091  28     0.74
            1091  29    -0.03
            1091  30     0.76
            1091  31     0.08
            1191   1     0.45
            1191   2     0.45
            1191   3     0.68
            1191   4     0.48
            1191   5     0.96
            1191   6     0.76
            1191   7     0.31
            1191   8     0.76
            1191   9    -0.20
            1191  10     0.68
            1191  11     0.54
            1191  12     1.98
            1191  13     0.71
            1191  14     0.17
            1191  15    -0.17
            1191  16     0.54
            1191  17     3.03
            1191  18     0.37
            1191  19     0.71
            1191  20     2.35
            1191  21     0.51
            1191  22     0.57
            1191  23     0.59
            1191  24     0.88
            1191  25    -1.33
            1191  26     1.76
            1191  27     0.45
            1191  28    -0.08
            1191  29    -0.40
            1191  30     0.08
            1291   1    -0.03
            1291   2     0.14
            1291   3     0.00
            1291   4    -0.06
            1291   5    -0.28
            1291   6     0.51
            1291   7     0.76
            1291   8    -0.11
            1291   9     0.34
            1291  10     0.03
            1291  11    -0.17
            1291  12    -0.17
            1291  13    -0.03
            1291  14     0.11
            1291  15     0.14
            1291  16     0.00
            1291  17     0.54
            1291  18     0.76
            1291  19    -0.14
            1291  20    -0.14
            1291  21     0.28
            1291  22     0.06
            1291  23     0.03
            1291  24     0.06
            1291  25     0.08
            1291  26    -0.03
            1291  27     1.36
            1291  28     4.73
            1291  29     3.40
            1291  30     0.68
            1291  31    -0.08
             192   1     0.17
             192   2    -0.82
             192   3     0.31
             192   4     3.43
             192   5     8.33
             192   6     7.53
             192   7     3.91
             192   8     0.17
             192   9     0.06
             192  10    -0.54
             192  11     0.25
             192  12     0.14
             192  13     0.17
             192  14     0.03
             192  15     0.31
             192  16    -0.06
             192  17    -0.14
             192  18     0.37
             192  19     0.34
             192  20     0.23
             192  21    -0.06
             192  22    -0.14
             192  23    -0.03
             192  24    -0.85
             192  25     0.42
             192  26    -0.14
             192  27     1.02
             192  28     4.87
             192  29     0.59
             192  30     0.31
             192  31     1.39
             292   1     4.45
             292   2     1.76
             292   3     1.02
             292   4     0.82
             292   5     0.51
             292   6     0.40
             292   7     0.25
             292   8    -0.06
             292   9     1.16
             292  10    15.15
             292  11    28.29
             292  12    48.28
             292  13    11.30
